state;action_reward;n_state
332&3|690&2|286&5|288&5|268&4|880&5|313&4|346&3|270&3|302&3|682&2|350&2;335&3|343&2|294&3|689&3;332&3|690&2|286&5|288&5|268&4|880&5|313&4|346&3|270&3|302&3|682&2|350&2|335&3|343&2|294&3|689&3
258&3|24&4|455&4|519&4|181&3|229&2|319&2|1098&3|148&2|9&3|337&2|827&4;998&4|719&4|952&5|866&1;258&3|24&4|455&4|519&4|181&3|229&2|319&2|1098&3|148&2|9&3|337&2|827&4|998&4|719&4|952&5|866&1
323&3|524&5|588&3|11&3|132&3|480&5|211&3|144&3|660&4|9&5|1039&5|12&5;79&4|51&3|423&3|222&4;323&3|524&5|588&3|11&3|132&3|480&5|211&3|144&3|660&4|9&5|1039&5|12&5|79&4|51&3|423&3|222&4
750&3|689&3|268&4|302&4|267&4|340&3|338&2|332&4|307&4|301&4|879&5|682&3;259&2|358&3|880&4|261&3;750&3|689&3|268&4|302&4|267&4|340&3|338&2|332&4|307&4|301&4|879&5|682&3|259&2|358&3|880&4|261&3
25&3|111&3|405&3|298&4|508&5|268&5|340&5|290&4|515&5|685&3|100&5|235&5;410&4|934&2|1051&4|1244&3;25&3|111&3|405&3|298&4|508&5|268&5|340&5|290&4|515&5|685&3|100&5|235&5|410&4|934&2|1051&4|1244&3
2&3|14&5|6&3|433&3|730&3|475&3|919&5|240&2|179&5|210&2|1367&5|428&4;559&2|720&1|37&3|12&3;2&3|14&5|6&3|433&3|730&3|475&3|919&5|240&2|179&5|210&2|1367&5|428&4|559&2|720&1|37&3|12&3
781&2|88&4|466&4|1041&2|197&5|707&4|655&3|176&4|165&5|202&3|60&4|258&3;183&4|53&2|228&4|276&4;781&2|88&4|466&4|1041&2|197&5|707&4|655&3|176&4|165&5|202&3|60&4|258&3|183&4|53&2|228&4|276&4
9&2|288&3|1068&3|308&4|929&3|304&4|13&4|546&3|147&2|1&3|15&1|321&3;307&3|269&4|291&3|831&2;9&2|288&3|1068&3|308&4|929&3|304&4|13&4|546&3|147&2|1&3|15&1|321&3|307&3|269&4|291&3|831&2
260&3|651&5|419&4|270&4|15&5|127&4|258&5|500&3|326&5|91&4|1119&3|304&3;318&5|176&4|372&5|187&3;260&3|651&5|419&4|270&4|15&5|127&4|258&5|500&3|326&5|91&4|1119&3|304&3|318&5|176&4|372&5|187&3
479&4|347&5|514&4|315&4|362&3|215&5|303&4|79&5|892&3|322&3|323&3|316&4;95&5|604&4|97&5|1204&4;479&4|347&5|514&4|315&4|362&3|215&5|303&4|79&5|892&3|322&3|323&3|316&4|95&5|604&4|97&5|1204&4
1016&3|128&4|265&3|183&4|95&3|245&3|195&1|50&5|13&3|430&1|277&3|286&5;176&4|83&4|268&4|210&4;1016&3|128&4|265&3|183&4|95&3|245&3|195&1|50&5|13&3|430&1|277&3|286&5|176&4|83&4|268&4|210&4
269&4|261&2|687&1|690&4|268&3|678&4|288&4|262&3|990&4|286&5|319&3|321&2;875&3|948&4|1048&5|988&2;269&4|261&2|687&1|690&4|268&3|678&4|288&4|262&3|990&4|286&5|319&3|321&2|875&3|948&4|1048&5|988&2
306&4|715&4|748&2|11&4|204&5|318&4|258&4|22&4|58&4|301&4|408&5|558&4;307&4|150&3|988&2|257&4;306&4|715&4|748&2|11&4|204&5|318&4|258&4|22&4|58&4|301&4|408&5|558&4|307&4|150&3|988&2|257&4
1011&4|270&4|300&3|475&3|991&3|676&5|286&5|7&3|742&3|9&4|221&4|287&5;405&3|628&5|473&4|696&4;1011&4|270&4|300&3|475&3|991&3|676&5|286&5|7&3|742&3|9&4|221&4|287&5|405&3|628&5|473&4|696&4
153&3|568&5|42&5|28&3|195&4|762&4|96&2|684&4|655&3|451&5|708&3|283&4;780&3|282&3|393&4|15&5;153&3|568&5|42&5|28&3|195&4|762&4|96&2|684&4|655&3|451&5|708&3|283&4|780&3|282&3|393&4|15&5
289&4|358&3|326&3|342&1|271&4|310&4|9&3|690&4|294&1|263&3|877&1|259&2;893&3|890&4|680&2|266&2;289&4|358&3|326&3|342&1|271&4|310&4|9&3|690&4|294&1|263&3|877&1|259&2|893&3|890&4|680&2|266&2
127&2|527&5|631&5|318&5|268&5|191&3|199&5|180&1|286&4|528&5|515&4|427&4;511&4|423&4|179&1|87&5;127&2|527&5|631&5|318&5|268&5|191&3|199&5|180&1|286&4|528&5|515&4|427&4|511&4|423&4|179&1|87&5
95&4|747&4|820&3|443&4|523&4|732&4|280&4|993&3|111&2|117&5|483&4|237&5;164&4|376&3|153&4|797&4;95&4|747&4|820&3|443&4|523&4|732&4|280&4|993&3|111&2|117&5|483&4|237&5|164&4|376&3|153&4|797&4
42&5|328&4|791&4|120&3|379&3|959&3|111&4|710&3|1063&5|795&4|150&4|15&5;693&3|785&3|1178&2|1473&4;42&5|328&4|791&4|120&3|379&3|959&3|111&4|710&3|1063&5|795&4|150&4|15&5|693&3|785&3|1178&2|1473&4
258&4|243&3|286&3|313&5|288&3|873&3|326&4|687&2|294&3|245&3|261&2|322&3;681&1|358&1|457&2|1025&3;258&4|243&3|286&3|313&5|288&3|873&3|326&4|687&2|294&3|245&3|261&2|322&3|681&1|358&1|457&2|1025&3
257&5|121&4|98&4|1059&3|928&3|743&1|240&3|748&3|144&4|742&4|597&4|117&5;298&5|168&5|410&3|179&5;257&5|121&4|98&4|1059&3|928&3|743&1|240&3|748&3|144&4|742&4|597&4|117&5|298&5|168&5|410&3|179&5
347&4|313&5|315&3|289&2|271&2|301&2|328&2|333&5|286&4|895&2|288&5|324&3;748&1|343&4|316&3|264&3;347&4|313&5|315&3|289&2|271&2|301&2|328&2|333&5|286&4|895&2|288&5|324&3|748&1|343&4|316&3|264&3
15&3|847&4|1068&2|124&4|286&4|100&5|744&4|19&5|137&4|9&4|275&4|116&5;285&5|936&5|508&5|269&4;15&3|847&4|1068&2|124&4|286&4|100&5|744&4|19&5|137&4|9&4|275&4|116&5|285&5|936&5|508&5|269&4
168&4|268&3|318&4|187&4|210&4|196&3|23&5|221&3|55&3|299&4|748&3|204&3;358&2|403&5|689&3|960&3;168&4|268&3|318&4|187&4|210&4|196&3|23&5|221&3|55&3|299&4|748&3|204&3|358&2|403&5|689&3|960&3
886&2|340&3|175&5|192&4|490&4|136&5|514&5|484&5|32&5|299&4|302&4|519&4;493&5|705&5|498&4|1019&5;886&2|340&3|175&5|192&4|490&4|136&5|514&5|484&5|32&5|299&4|302&4|519&4|493&5|705&5|498&4|1019&5
643&3|221&5|896&4|638&3|1006&5|8&5|65&4|558&4|666&3|1005&4|582&5|258&4;482&2|132&5|318&5|208&2;643&3|221&5|896&4|638&3|1006&5|8&5|65&4|558&4|666&3|1005&4|582&5|258&4|482&2|132&5|318&5|208&2
179&4|936&3|337&4|607&3|1226&4|208&5|846&3|922&4|7&5|303&4|182&3|436&3;553&1|561&2|1525&4|1108&4;179&4|936&3|337&4|607&3|1226&4|208&5|846&3|922&4|7&5|303&4|182&3|436&3|553&1|561&2|1525&4|1108&4
187&2|486&4|211&2|435&3|195&4|603&4|357&4|127&4|132&4|258&3|513&2|485&4;640&2|511&2|9&3|404&1;187&2|486&4|211&2|435&3|195&4|603&4|357&4|127&4|132&4|258&3|513&2|485&4|640&2|511&2|9&3|404&1
179&3|2&3|118&3|195&4|196&4|204&4|1&5|98&4|252&4|650&3|1016&3|357&4;969&4|136&4|180&5|916&3;179&3|2&3|118&3|195&4|196&4|204&4|1&5|98&4|252&4|650&3|1016&3|357&4|969&4|136&4|180&5|916&3
316&3|327&2|269&3|286&1|301&3|875&2|340&3|270&3|302&3|303&4|312&1|272&3;689&2|245&1|338&3|322&1;316&3|327&2|269&3|286&1|301&3|875&2|340&3|270&3|302&3|303&4|312&1|272&3|689&2|245&1|338&3|322&1
1152&4|713&2|988&1|295&3|748&5|181&4|235&4|286&3|283&5|688&4|300&5|326&1;118&3|111&3|24&3|936&3;1152&4|713&2|988&1|295&3|748&5|181&4|235&4|286&3|283&5|688&4|300&5|326&1|118&3|111&3|24&3|936&3
475&4|7&4|243&1|100&4|323&1|150&5|919&4|9&3|1&4|269&4|744&3|13&3;628&1|222&3|117&3|471&2;475&4|7&4|243&1|100&4|323&1|150&5|919&4|9&3|1&4|269&4|744&3|13&3|628&1|222&3|117&3|471&2
100&4|7&4|222&4|596&3|25&3|764&2|458&3|117&4|181&5|258&4|127&5|123&4;293&4|508&3|257&5|147&3;100&4|7&4|222&4|596&3|25&3|764&2|458&3|117&4|181&5|258&4|127&5|123&4|293&4|508&3|257&5|147&3
748&3|56&5|492&4|324&3|183&5|515&4|499&5|50&4|127&5|24&4|199&5|111&4;86&4|419&4|214&3|153&4;748&3|56&5|492&4|324&3|183&5|515&4|499&5|50&4|127&5|24&4|199&5|111&4|86&4|419&4|214&3|153&4
312&3|287&3|273&4|297&4|305&3|237&4|1&4|19&3|293&4|257&4|315&1|275&5;313&5|310&4|300&4|283&5;312&3|287&3|273&4|297&4|305&3|237&4|1&4|19&3|293&4|257&4|315&1|275&5|313&5|310&4|300&4|283&5
778&3|720&2|1061&2|409&2|99&4|159&3|11&3|65&3|181&4|22&5|1091&2|265&4;272&4|561&3|734&3|977&3;778&3|720&2|1061&2|409&2|99&4|159&3|11&3|65&3|181&4|22&5|1091&2|265&4|272&4|561&3|734&3|977&3
321&3|298&5|307&5|250&4|150&4|14&5|276&5|872&5|268&4|1&5|877&1|323&4;1094&5|123&4|411&5|127&4;321&3|298&5|307&5|250&4|150&4|14&5|276&5|872&5|268&4|1&5|877&1|323&4|1094&5|123&4|411&5|127&4
134&5|1335&1|685&3|742&4|499&4|318&4|960&1|461&4|182&4|192&4|199&4|475&4;330&3|187&5|582&1|496&3;134&5|1335&1|685&3|742&4|499&4|318&4|960&1|461&4|182&4|192&4|199&4|475&4|330&3|187&5|582&1|496&3
1260&2|198&3|288&3|1160&4|116&3|113&4|949&3|462&4|100&5|475&5|286&5|269&3;313&5|121&3|345&4|921&5;1260&2|198&3|288&3|1160&4|116&3|113&4|949&3|462&4|100&5|475&5|286&5|269&3|313&5|121&3|345&4|921&5
1&5|486&3|183&4|478&2|8&5|525&2|645&5|234&4|89&5|484&5|79&4|673&4;100&5|185&5|170&5|153&4;1&5|486&3|183&4|478&2|8&5|525&2|645&5|234&4|89&5|484&5|79&4|673&4|100&5|185&5|170&5|153&4
237&5|644&4|792&5|631&4|180&4|269&5|137&4|100&4|191&5|202&4|153&4|286&5;274&4|280&3|762&5|535&4;237&5|644&4|792&5|631&4|180&4|269&5|137&4|100&4|191&5|202&4|153&4|286&5|274&4|280&3|762&5|535&4
451&4|582&2|748&4|538&4|61&5|216&4|531&5|662&5|307&3|86&4|744&5|333&4;738&4|56&5|566&4|176&5;451&4|582&2|748&4|538&4|61&5|216&4|531&5|662&5|307&3|86&4|744&5|333&4|738&4|56&5|566&4|176&5
249&4|186&4|505&4|258&4|56&4|48&3|673&3|502&3|475&4|183&4|193&4|652&4;225&2|768&3|264&3|410&4;249&4|186&4|505&4|258&4|56&4|48&3|673&3|502&3|475&4|183&4|193&4|652&4|225&2|768&3|264&3|410&4
5&4|223&5|317&4|663&4|405&5|237&4|226&3|673&3|559&4|163&4|24&5|66&3;402&3|43&3|167&4|257&4;5&4|223&5|317&4|663&4|405&5|237&4|226&3|673&3|559&4|163&4|24&5|66&3|402&3|43&3|167&4|257&4
143&5|520&3|523&5|886&2|125&4|99&3|482&4|511&5|144&4|79&4|180&4|210&3;265&4|186&4|646&5|465&4;143&5|520&3|523&5|886&2|125&4|99&3|482&4|511&5|144&4|79&4|180&4|210&3|265&4|186&4|646&5|465&4
1063&4|848&3|238&4|447&5|963&5|466&3|192&4|173&5|813&5|603&4|9&5|116&3;162&3|258&5|42&3|134&5;1063&4|848&3|238&4|447&5|963&5|466&3|192&4|173&5|813&5|603&4|9&5|116&3|162&3|258&5|42&3|134&5
229&3|568&3|29&5|939&4|127&4|186&2|77&3|182&3|254&4|117&4|581&2|628&3;239&3|85&3|358&4|467&4;229&3|568&3|29&5|939&4|127&4|186&2|77&3|182&3|254&4|117&4|581&2|628&3|239&3|85&3|358&4|467&4
97&3|141&4|151&4|621&4|199&4|659&5|172&4|419&4|96&5|133&4|174&5|8&5;7&5|300&3|480&5|251&5;97&3|141&4|151&4|621&4|199&4|659&5|172&4|419&4|96&5|133&4|174&5|8&5|7&5|300&3|480&5|251&5
100&4|582&4|153&4|845&3|455&3|86&2|443&3|235&4|249&2|89&5|225&3|498&4;207&3|232&3|380&5|162&4;100&4|582&4|153&4|845&3|455&3|86&2|443&3|235&4|249&2|89&5|225&3|498&4|207&3|232&3|380&5|162&4
307&2|882&2|873&1|327&3|678&1|300&3|331&2|270&3|323&1|304&3|990&2|1176&4;268&1|748&2|995&2|245&2;307&2|882&2|873&1|327&3|678&1|300&3|331&2|270&3|323&1|304&3|990&2|1176&4|268&1|748&2|995&2|245&2
12&5|174&5|56&4|172&3|165&5|294&1|272&4|510&4|98&4|166&5|511&4|100&4;504&4|654&4|642&4|79&4;12&5|174&5|56&4|172&3|165&5|294&1|272&4|510&4|98&4|166&5|511&4|100&4|504&4|654&4|642&4|79&4
547&5|50&1|102&2|561&2|423&2|813&3|52&2|358&1|175&5|10&3|173&3|320&5;577&1|725&2|80&1|1074&2;547&5|50&1|102&2|561&2|423&2|813&3|52&2|358&1|175&5|10&3|173&3|320&5|577&1|725&2|80&1|1074&2
603&5|479&4|566&4|215&5|705&5|427&5|22&5|193&4|136&5|64&4|510&5|482&5;480&5|143&2|1443&4|1203&5;603&5|479&4|566&4|215&5|705&5|427&5|22&5|193&4|136&5|64&4|510&5|482&5|480&5|143&2|1443&4|1203&5
258&5|313&3|750&2|328&1|333&5|331&3|301&2|315&2|346&2|899&5|362&1|300&3;269&5|288&5|327&1|1313&2;258&5|313&3|750&2|328&1|333&5|331&3|301&2|315&2|346&2|899&5|362&1|300&3|269&5|288&5|327&1|1313&2
312&4|347&1|307&5|305&4|1062&4|311&5|748&1|427&5|286&5|315&5|689&1|245&4;520&5|9&5|1126&3|234&4;312&4|347&1|307&5|305&4|1062&4|311&5|748&1|427&5|286&5|315&5|689&1|245&4|520&5|9&5|1126&3|234&4
1088&2|886&3|881&3|289&3|321&2|1378&2|244&4|259&1|948&2|1611&3|1390&3|254&2;1511&2|534&3|1216&2|1588&3;1088&2|886&3|881&3|289&3|321&2|1378&2|244&4|259&1|948&2|1611&3|1390&3|254&2|1511&2|534&3|1216&2|1588&3
172&4|47&5|186&4|210&3|70&4|423&4|451&3|191&5|367&4|206&2|240&3|435&4;71&3|1061&2|99&5|187&4;172&4|47&5|186&4|210&3|70&4|423&4|451&3|191&5|367&4|206&2|240&3|435&4|71&3|1061&2|99&5|187&4
99&3|49&5|216&4|581&4|472&5|234&4|660&5|403&5|1034&3|496&4|1002&4|742&5;1239&5|68&5|751&5|338&4;99&3|49&5|216&4|581&4|472&5|234&4|660&5|403&5|1034&3|496&4|1002&4|742&5|1239&5|68&5|751&5|338&4
120&1|1118&1|435&5|204&3|8&4|431&2|428&1|274&3|722&3|66&3|158&4|585&2;794&3|233&3|443&3|554&3;120&1|1118&1|435&5|204&3|8&4|431&2|428&1|274&3|722&3|66&3|158&4|585&2|794&3|233&3|443&3|554&3
174&4|1073&4|273&3|705&2|91&4|87&3|271&4|429&5|73&2|101&1|222&5|143&2;248&5|591&4|449&3|256&3;174&4|1073&4|273&3|705&2|91&4|87&3|271&4|429&5|73&2|101&1|222&5|143&2|248&5|591&4|449&3|256&3
449&3|12&4|39&3|288&3|203&4|228&4|653&4|230&3|229&2|258&4|79&3|566&3;802&2|54&3|226&3|1208&3;449&3|12&4|39&3|288&3|203&4|228&4|653&4|230&3|229&2|258&4|79&3|566&3|802&2|54&3|226&3|1208&3
746&3|274&2|195&4|318&4|808&3|647&3|117&2|83&5|468&2|1248&2|284&4|739&2;720&1|696&1|760&2|1074&2;746&3|274&2|195&4|318&4|808&3|647&3|117&2|83&5|468&2|1248&2|284&4|739&2|720&1|696&1|760&2|1074&2
524&5|479&5|181&4|603&5|131&5|1126&4|1194&5|514&3|153&5|506&4|492&3|478&4;528&3|646&4|22&5|191&4;524&5|479&5|181&4|603&5|131&5|1126&4|1194&5|514&3|153&5|506&4|492&3|478&4|528&3|646&4|22&5|191&4
202&5|422&2|588&2|58&5|69&3|393&2|505&4|238&3|173&5|213&4|484&3|174&5;1618&1|541&3|402&4|203&4;202&5|422&2|588&2|58&5|69&3|393&2|505&4|238&3|173&5|213&4|484&3|174&5|1618&1|541&3|402&4|203&4
300&4|281&3|272&3|118&4|685&3|298&3|1399&2|302&3|245&4|344&4|1025&2|750&3;127&4|117&4|50&4|181&4;300&4|281&3|272&3|118&4|685&3|298&3|1399&2|302&3|245&4|344&4|1025&2|750&3|127&4|117&4|50&4|181&4
735&3|405&4|658&3|511&3|215&2|190&4|979&2|217&3|1131&5|334&4|175&2|563&1;660&3|1227&1|950&3|99&3;735&3|405&4|658&3|511&3|215&2|190&4|979&2|217&3|1131&5|334&4|175&2|563&1|660&3|1227&1|950&3|99&3
678&4|321&5|313&5|289&5|304&4|288&3|300&5|902&5|333&5|873&3|301&5|294&5;286&4|331&4|326&5|338&4;678&4|321&5|313&5|289&5|304&4|288&3|300&5|902&5|333&5|873&3|301&5|294&5|286&4|331&4|326&5|338&4
137&2|1012&4|249&3|628&3|293&4|288&3|1161&3|129&5|508&4|124&4|276&5|741&5;181&4|150&5|1008&4|742&3;137&2|1012&4|249&3|628&3|293&4|288&3|1161&3|129&5|508&4|124&4|276&5|741&5|181&4|150&5|1008&4|742&3
199&5|22&4|520&4|510&4|204&5|216&4|491&4|164&4|657&3|485&4|659&4|300&3;526&5|497&2|385&4|98&1;199&5|22&4|520&4|510&4|204&5|216&4|491&4|164&4|657&3|485&4|659&4|300&3|526&5|497&2|385&4|98&1
127&5|9&5|527&5|215&5|603&4|499&3|521&5|69&5|528&5|202&5|192&5|435&5;203&3|249&5|12&2|806&4;127&5|9&5|527&5|215&5|603&4|499&3|521&5|69&5|528&5|202&5|192&5|435&5|203&3|249&5|12&2|806&4
182&3|629&2|856&3|313&4|135&3|211&3|518&3|59&4|1113&4|180&2|582&4|423&3;340&3|443&4|506&3|1444&1;182&3|629&2|856&3|313&4|135&3|211&3|518&3|59&4|1113&4|180&2|582&4|423&3|340&3|443&4|506&3|1444&1
1119&5|488&3|204&5|471&3|1006&2|125&4|144&3|136&4|1147&4|90&4|660&4|427&4;409&2|1110&4|459&4|1135&3;1119&5|488&3|204&5|471&3|1006&2|125&4|144&3|136&4|1147&4|90&4|660&4|427&4|409&2|1110&4|459&4|1135&3
511&4|9&4|12&5|664&4|134&5|709&4|656&5|69&4|23&5|205&5|199&4|505&4;504&5|283&4|162&4|420&4;511&4|9&4|12&5|664&4|134&5|709&4|656&5|69&4|23&5|205&5|199&4|505&4|504&5|283&4|162&4|420&4
168&3|15&4|511&4|96&5|419&4|651&4|222&4|480&5|195&4|521&4|1099&3|228&5;191&4|98&2|484&5|479&5;168&3|15&4|511&4|96&5|419&4|651&4|222&4|480&5|195&4|521&4|1099&3|228&5|191&4|98&2|484&5|479&5
195&4|12&5|527&4|483&4|246&2|11&5|100&4|249&3|137&4|275&3|117&4|427&5;98&4|20&4|568&4|55&4;195&4|12&5|527&4|483&4|246&2|11&5|100&4|249&3|137&4|275&3|117&4|427&5|98&4|20&4|568&4|55&4
294&2|45&3|300&3|921&5|428&4|42&4|174&5|478&4|64&5|32&5|133&4|418&4;187&4|185&4|461&4|481&5;294&2|45&3|300&3|921&5|428&4|42&4|174&5|478&4|64&5|32&5|133&4|418&4|187&4|185&4|461&4|481&5
614&4|117&1|879&2|537&3|169&3|111&4|326&1|174&3|7&3|50&5|23&4|479&5;490&5|482&4|190&3|517&3;614&4|117&1|879&2|537&3|169&3|111&4|326&1|174&3|7&3|50&5|23&4|479&5|490&5|482&4|190&3|517&3
286&5|203&5|1360&2|133&4|647&5|618&4|1393&1|876&2|116&4|382&4|496&5|178&5;181&4|482&4|404&2|45&4;286&5|203&5|1360&2|133&4|647&5|618&4|1393&1|876&2|116&4|382&4|496&5|178&5|181&4|482&4|404&2|45&4
628&3|9&3|273&3|282&4|109&4|148&4|121&3|237&3|122&3|129&4|1067&4|150&4;742&3|240&4|928&3|823&3;628&3|9&3|273&3|282&4|109&4|148&4|121&3|237&3|122&3|129&4|1067&4|150&4|742&3|240&4|928&3|823&3
82&5|275&5|294&4|64&5|270&4|1&4|357&3|756&4|72&4|175&2|191&5|568&5;364&3|1246&2|1037&2|1180&3;82&5|275&5|294&4|64&5|270&4|1&4|357&3|756&4|72&4|175&2|191&5|568&5|364&3|1246&2|1037&2|1180&3
651&5|527&4|507&4|205&5|322&4|683&3|28&4|98&5|264&4|22&5|1126&1|174&5;526&4|612&4|99&2|616&4;651&5|527&4|507&4|205&5|322&4|683&3|28&4|98&5|264&4|22&5|1126&1|174&5|526&4|612&4|99&2|616&4
181&5|169&3|423&4|173&5|222&3|98&3|651&4|202&3|50&5|48&4|180&3|96&4;531&4|73&3|318&4|79&3;181&5|169&3|423&4|173&5|222&3|98&3|651&4|202&3|50&5|48&4|180&3|96&4|531&4|73&3|318&4|79&3
657&5|56&4|611&5|12&5|603&5|531&4|134&3|269&5|185&5|750&3|880&4|896&3;42&3|429&4|238&4|174&5;657&5|56&4|611&5|12&5|603&5|531&4|134&3|269&5|185&5|750&3|880&4|896&3|42&3|429&4|238&4|174&5
517&4|1227&3|302&5|566&3|648&4|796&3|749&3|207&3|989&5|306&3|462&5|1404&3;847&4|134&5|487&5|684&3;517&4|1227&3|302&5|566&3|648&4|796&3|749&3|207&3|989&5|306&3|462&5|1404&3|847&4|134&5|487&5|684&3
340&4|262&3|302&4|321&3|292&3|313&3|286&4|289&3|269&5|300&3|272&5|303&3;322&2|325&1|245&3|294&3;340&4|262&3|302&4|321&3|292&3|313&3|286&4|289&3|269&5|300&3|272&5|303&3|322&2|325&1|245&3|294&3
1065&3|286&5|667&2|429&4|451&2|7&4|98&4|179&5|258&3|265&2|136&5|172&5;660&2|168&5|163&3|516&2;1065&3|286&5|667&2|429&4|451&2|7&4|98&4|179&5|258&3|265&2|136&5|172&5|660&2|168&5|163&3|516&2
153&1|288&4|216&4|1079&2|286&2|205&4|527&4|127&1|690&4|196&5|523&4|521&5;692&5|56&5|522&5|652&5;153&1|288&4|216&4|1079&2|286&2|205&4|527&4|127&1|690&4|196&5|523&4|521&5|692&5|56&5|522&5|652&5
326&5|286&2|315&4|258&3|307&4|272&4|328&4|294&3|1038&3|690&2|288&5|322&4;347&5|682&3|325&5|271&4;326&5|286&2|315&4|258&3|307&4|272&4|328&4|294&3|1038&3|690&2|288&5|322&4|347&5|682&3|325&5|271&4
678&2|689&5|321&2|336&2|313&4|268&2|300&5|347&5|879&5|748&1|294&3|258&4;323&2|1025&2|264&1|683&1;678&2|689&5|321&2|336&2|313&4|268&2|300&5|347&5|879&5|748&1|294&3|258&4|323&2|1025&2|264&1|683&1
1195&3|483&5|161&2|285&5|44&4|196&4|694&5|58&4|254&2|473&4|724&4|235&2;805&3|223&4|401&3|399&3;1195&3|483&5|161&2|285&5|44&4|196&4|694&5|58&4|254&2|473&4|724&4|235&2|805&3|223&4|401&3|399&3
895&5|313&5|334&5|222&5|319&3|271&5|343&5|117&3|302&5|751&5|879&5|300&5;597&5|827&5|405&5|118&5;895&5|313&5|334&5|222&5|319&3|271&5|343&5|117&3|302&5|751&5|879&5|300&5|597&5|827&5|405&5|118&5
866&4|282&3|323&2|678&3|1&5|50&5|405&4|151&3|24&3|258&5|127&5|121&4;620&3|225&3|1047&3|237&4;866&4|282&3|323&2|678&3|1&5|50&5|405&4|151&3|24&3|258&5|127&5|121&4|620&3|225&3|1047&3|237&4
79&4|194&3|510&5|148&3|286&5|9&4|693&2|328&4|504&3|956&4|282&3|515&5;1313&4|344&4|38&3|912&3;79&4|194&3|510&5|148&3|286&5|9&4|693&2|328&4|504&3|956&4|282&3|515&5|1313&4|344&4|38&3|912&3
129&3|98&4|503&4|747&2|227&2|856&3|286&3|474&5|693&4|272&4|521&3|1017&3;206&4|553&3|572&2|665&2;129&3|98&4|503&4|747&2|227&2|856&3|286&3|474&5|693&4|272&4|521&3|1017&3|206&4|553&3|572&2|665&2
168&5|70&5|388&1|1079&1|716&2|1496&1|158&3|186&4|100&3|239&3|26&5|122&5;151&1|121&4|546&3|591&5;168&5|70&5|388&1|1079&1|716&2|1496&1|158&3|186&4|100&3|239&3|26&5|122&5|151&1|121&4|546&3|591&5
33&2|693&3|526&5|313&4|421&3|9&3|628&2|265&4|1&4|746&2|385&4|582&4;68&3|576&4|49&3|66&4;33&2|693&3|526&5|313&4|421&3|9&3|628&2|265&4|1&4|746&2|385&4|582&4|68&3|576&4|49&3|66&4
276&4|1007&4|257&4|1143&4|129&4|285&4|321&2|475&5|242&3|327&3|302&4|124&4;256&4|116&5|1129&4|275&5;276&4|1007&4|257&4|1143&4|129&4|285&4|321&2|475&5|242&3|327&3|302&4|124&4|256&4|116&5|1129&4|275&5
930&3|71&3|72&4|234&5|526&3|523&3|174&5|1060&2|79&5|194&5|318&3|746&4;436&5|769&1|227&3|550&4;930&3|71&3|72&4|234&5|526&3|523&3|174&5|1060&2|79&5|194&5|318&3|746&4|436&5|769&1|227&3|550&4
237&3|126&5|405&3|45&4|244&4|282&4|1010&2|100&3|245&3|763&3|269&4|14&4;175&2|64&4|165&5|210&2;237&3|126&5|405&3|45&4|244&4|282&4|1010&2|100&3|245&3|763&3|269&4|14&4|175&2|64&4|165&5|210&2
948&4|685&3|50&5|11&4|96&4|833&4|288&4|161&5|405&4|403&5|597&5|210&4;62&5|183&4|127&4|540&2;948&4|685&3|50&5|11&4|96&4|833&4|288&4|161&5|405&4|403&5|597&5|210&4|62&5|183&4|127&4|540&2
1142&4|15&4|303&4|9&5|313&2|56&4|124&5|137&5|14&5|116&5|258&5|275&4;525&5|747&4|318&5|223&4;1142&4|15&4|303&4|9&5|313&2|56&4|124&5|137&5|14&5|116&5|258&5|275&4|525&5|747&4|318&5|223&4
423&4|272&4|496&3|659&3|1203&4|478&5|211&3|7&4|530&4|205&3|381&5|506&3;548&3|176&4|473&3|197&4;423&4|272&4|496&3|659&3|1203&4|478&5|211&3|7&4|530&4|205&3|381&5|506&3|548&3|176&4|473&3|197&4
180&5|150&4|559&2|380&3|128&4|268&5|23&4|202&3|81&4|11&5|772&1|685&2;405&3|761&4|1228&2|1046&2;180&5|150&4|559&2|380&3|128&4|268&5|23&4|202&3|81&4|11&5|772&1|685&2|405&3|761&4|1228&2|1046&2
748&5|289&1|328&4|1393&3|245&2|302&3|358&3|300&5|678&4|332&4|288&4|682&4;292&3|261&1|873&4|881&4;748&5|289&1|328&4|1393&3|245&2|302&3|358&3|300&5|678&4|332&4|288&4|682&4|292&3|261&1|873&4|881&4
82&5|238&3|174&5|702&3|230&5|1181&3|202&5|38&5|568&5|167&4|1028&4|179&4;157&3|90&2|780&4|87&4;82&5|238&3|174&5|702&3|230&5|1181&3|202&5|38&5|568&5|167&4|1028&4|179&4|157&3|90&2|780&4|87&4
419&4|237&4|64&5|127&4|527&5|15&4|168&1|648&4|170&5|97&5|945&4|504&3;196&5|480&4|320&1|205&1;419&4|237&4|64&5|127&4|527&5|15&4|168&1|648&4|170&5|97&5|945&4|504&3|196&5|480&4|320&1|205&1
418&5|265&5|435&4|520&5|417&5|378&5|143&5|480&5|15&5|1&5|215&5|199&5;1133&5|405&5|274&4|428&1;418&5|265&5|435&4|520&5|417&5|378&5|143&5|480&5|15&5|1&5|215&5|199&5|1133&5|405&5|274&4|428&1
